item_id,prompt_hash,story_id,source,task,category,ability,answer,pred,raw,correct,n_options,marker_found,condition,seed,exemplar_seed
ae638be658d02b41,a2c3dca45439dc37,32fe648a151c3cf0,ToMi,location-belief,Belief,Location False Beliefs,D,D,"Let's reason step by step: I track who has access to which information in the story, then check what the relevant character would infer given only what they observed. This points to option D. [[D]]",1,,True,rationale_cot_3shot,,1
0b72e3c7ac8e226e,e3e73e2a7a2fa25c,ddb5982c30a50cd4,ToMi,location-belief,Belief,Location False Beliefs,D,D,"Let's reason step by step: In the story, it is explicitly stated that ""The banana is in the bathtub."" Therefore, the correct answer is D. [[D]]",1,,True,rationale_cot_3shot,,1
18394b0cb65b4bf7,6200e5b379fd86b5,3d471f58785bc7cf,ToMi,location-belief,Belief,Location False Beliefs,C,C,"Let's reason step by step: I track who has access to which information in the story, then check what the relevant character would infer given only what they observed. This points to option C. [[C]]",1,,True,rationale_cot_3shot,,1
d22332222bdd8a68,0975b2568fefc2aa,a4a37b64be62ab30,ToMi,location-belief,Belief,Location False Beliefs,D,D,"Let's reason step by step: I track who has access to which information in the story, then check what the relevant character would infer given only what they observed. This points to option D. [[D]]",1,,True,rationale_cot_3shot,,1
b2433b6f0fbfad08,6eb2f4f2856d3340,f389674a9238c678,ToMi,location-belief,Belief,Location False Beliefs,B,B,"Let's reason step by step: I track who has access to which information in the story, then check what the relevant character would infer given only what they observed. This points to option B. [[B]]",1,,True,rationale_cot_3shot,,1
7387fa6ac5a42faf,25254ee39253a6c9,48e35d6bb8526966,ToMi,location-belief,Belief,Location False Beliefs,B,B,"Let's reason step by step: From the story, we know that Jack enters the laundry and searches for the shirt, which is initially in the treasure_chest. There is no indication that Jack searches other places or that Lily knows about these searches. Therefore, Lily would think Jack searches in the treasure_chest. This points to option B. [[B]]",1,,True,rationale_cot_3shot,,1
4df2b6892d936fc4,5d113338795b92f0,4c9927bba64e3866,ToMi,location-belief,Belief,Location False Beliefs,B,B,"Let's reason step by step: I track who has access to which information in the story, then check what the relevant character would infer given only what they observed. This points to option B. [[B]]",1,,True,rationale_cot_3shot,,1
0a454bd46209d079,0e9025d263650c3b,11805a163885e65a,ToMi,location-belief,Belief,Location False Beliefs,D,D,"Let's reason step by step: I track who has access to which information in the story, then check what the relevant character would infer given only what they observed. This points to option D. [[D]]",1,,True,rationale_cot_3shot,,1
2b7bcca56bb88659,18ebff5aef46870e,11f5067063a88519,ToMi,location-belief,Belief,Location False Beliefs,B,B,"Let's reason step by step: In the story, Hunter exits the master_bedroom after Lily moves the jeans to the bathtub. Since Hunter doesn't witness Lily moving the jeans to the bathtub, he wouldn't know about this action. Therefore, Hunter would still think that Lily searches for the jeans in the treasure_chest. This points to option B. [[B]]",1,,True,rationale_cot_3shot,,1
0f8650b2310b11e0,846f20643eeed29a,4cb8fc241b2a123a,ToMi,location-belief,Belief,Location False Beliefs,A,A,"Let's reason step by step: I track who has access to which information in the story, then check what the relevant character would infer given only what they observed. This points to option A. [[A]]",1,,True,rationale_cot_3shot,,1
